> RPGMAKER TRANS PATCH FILE VERSION 3.2
> BEGIN STRING
"バニーさん"
> CONTEXT: Map216/events/2/pages/0/0/InlineScript/1:22
> CONTEXT: Map216/events/2/pages/0/0/InlineScript/1:22
> CONTEXT: Map216/events/6/pages/0/2/InlineScript/1:22
> CONTEXT: Map216/events/6/pages/0/2/InlineScript/1:22
"Bunny-san"
> END STRING

> BEGIN STRING
\\name[\\v[2]]\\_
次の階へは魔法陣をご利用ください！
> CONTEXT: Map216/events/2/pages/0/1/Dialogue
> CONTEXT: Map216/events/2/pages/0/1/Dialogue
\\name[\\v[2]]\\_
Please use the magic circle to go to the next floor!
> END STRING

> BEGIN STRING
\\name[\\v[2]]\\_
えっ……ええ～～～\\H
> CONTEXT: Map216/events/2/pages/0/5/Dialogue
> CONTEXT: Map216/events/2/pages/0/5/Dialogue
\\name[\\v[2]]\\_
Eh... Eeeee~~~\\H
> END STRING

> BEGIN STRING
\\name[\\v[2]]\\_
おめでとうございまーす！
ボーナス部屋にようこそ！
> CONTEXT: Map216/events/6/pages/0/3/Dialogue
> CONTEXT: Map216/events/6/pages/0/3/Dialogue
\\name[\\v[2]]\\_
Congratulations! 
Welcome to the bonus room!
> END STRING

> BEGIN STRING
敵の種類
> CONTEXT: Map216/events/2/pages/0/7/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/0/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/1/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/2/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/3/0/Comment < UNTRANSLATED
> CONTEXT: Map213/events/22/pages/0/11/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/4/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/5/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/6/0/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/7/0/Comment < UNTRANSLATED
> CONTEXT: Map212/events/50/pages/0/1/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/8/0/Comment < UNTRANSLATED
> CONTEXT: Map212/events/51/pages/0/1/Comment < UNTRANSLATED
> CONTEXT: Map219/events/2/pages/9/0/Comment < UNTRANSLATED
> CONTEXT: Map212/events/52/pages/3/1/Comment < UNTRANSLATED
