> RPGMAKER TRANS PATCH FILE VERSION 3.2
> BEGIN STRING
宝箱はミミックだった！
> CONTEXT: Map928/events/39/pages/0/18/Dialogue
> CONTEXT: Map922/events/31/pages/0/17/Dialogue
> CONTEXT: Map923/events/40/pages/0/17/Dialogue
> CONTEXT: Map924/events/98/pages/0/18/Dialogue
> CONTEXT: Map861/events/18/pages/0/17/Dialogue
> CONTEXT: Map861/events/38/pages/1/17/Dialogue
> CONTEXT: Map861/events/40/pages/1/17/Dialogue
> CONTEXT: Map861/events/40/pages/4/17/Dialogue
> CONTEXT: Map861/events/51/pages/1/17/Dialogue
> CONTEXT: Map861/events/51/pages/4/17/Dialogue
> CONTEXT: Map770/events/28/pages/0/10/Dialogue
> CONTEXT: Map747/events/26/pages/0/17/Dialogue
> CONTEXT: Map760/events/28/pages/0/9/Dialogue
> CONTEXT: Map619/events/3/pages/0/18/Dialogue
> CONTEXT: Map619/events/4/pages/0/18/Dialogue
> CONTEXT: Map619/events/5/pages/0/18/Dialogue
> CONTEXT: Map619/events/6/pages/0/18/Dialogue
> CONTEXT: Map619/events/7/pages/0/18/Dialogue
> CONTEXT: Map619/events/9/pages/0/18/Dialogue
> CONTEXT: Map619/events/10/pages/0/18/Dialogue
> CONTEXT: Map619/events/11/pages/0/18/Dialogue
> CONTEXT: Map619/events/12/pages/0/18/Dialogue
> CONTEXT: Map619/events/13/pages/0/18/Dialogue
> CONTEXT: Map619/events/14/pages/0/18/Dialogue
> CONTEXT: Map619/events/15/pages/0/18/Dialogue
> CONTEXT: Map619/events/16/pages/0/18/Dialogue
> CONTEXT: Map619/events/17/pages/0/18/Dialogue
> CONTEXT: Map602/events/7/pages/0/17/Dialogue
> CONTEXT: Map619/events/18/pages/0/18/Dialogue
> CONTEXT: Map602/events/8/pages/0/17/Dialogue
> CONTEXT: Map602/events/9/pages/0/17/Dialogue
> CONTEXT: Map619/events/19/pages/0/18/Dialogue
> CONTEXT: Map566/events/16/pages/0/15/Dialogue
> CONTEXT: Map548/events/1/pages/0/9/Dialogue
> CONTEXT: Map544/events/38/pages/1/17/Dialogue
> CONTEXT: Map544/events/49/pages/1/17/Dialogue
> CONTEXT: Map544/events/49/pages/4/17/Dialogue
> CONTEXT: Map548/events/1/pages/5/10/Dialogue
> CONTEXT: Map543/events/38/pages/1/17/Dialogue
> CONTEXT: Map543/events/49/pages/1/17/Dialogue
> CONTEXT: Map543/events/49/pages/4/17/Dialogue
> CONTEXT: Map542/events/57/pages/1/17/Dialogue
> CONTEXT: Map542/events/57/pages/4/17/Dialogue
> CONTEXT: Map542/events/66/pages/1/17/Dialogue
> CONTEXT: Map548/events/2/pages/3/10/Dialogue
> CONTEXT: Map541/events/38/pages/1/17/Dialogue
> CONTEXT: Map540/events/38/pages/1/17/Dialogue
> CONTEXT: Map541/events/49/pages/1/17/Dialogue
> CONTEXT: Map540/events/49/pages/1/17/Dialogue
> CONTEXT: Map538/events/38/pages/1/17/Dialogue
> CONTEXT: Map541/events/49/pages/4/17/Dialogue
> CONTEXT: Map539/events/38/pages/1/17/Dialogue
> CONTEXT: Map540/events/49/pages/4/17/Dialogue
> CONTEXT: Map538/events/49/pages/1/17/Dialogue
> CONTEXT: Map538/events/49/pages/4/17/Dialogue
> CONTEXT: Map539/events/38/pages/4/17/Dialogue
> CONTEXT: Map539/events/49/pages/1/17/Dialogue
> CONTEXT: Map535/events/38/pages/1/17/Dialogue
> CONTEXT: Map535/events/38/pages/4/17/Dialogue
> CONTEXT: Map535/events/47/pages/1/17/Dialogue
> CONTEXT: Map536/events/38/pages/1/17/Dialogue
> CONTEXT: Map536/events/38/pages/4/17/Dialogue
> CONTEXT: Map536/events/47/pages/1/17/Dialogue
> CONTEXT: Map548/events/3/pages/4/10/Dialogue
> CONTEXT: Map537/events/57/pages/1/17/Dialogue
> CONTEXT: Map537/events/57/pages/4/17/Dialogue
> CONTEXT: Map537/events/66/pages/1/17/Dialogue
> CONTEXT: Map492/events/39/pages/0/17/Dialogue
> CONTEXT: Map492/events/61/pages/0/18/Dialogue
> CONTEXT: Map491/events/39/pages/0/18/Dialogue
> CONTEXT: Map405/events/14/pages/0/17/Dialogue
> CONTEXT: Map287/events/3/pages/0/17/Dialogue
> CONTEXT: Map287/events/4/pages/0/17/Dialogue
> CONTEXT: Map287/events/6/pages/0/17/Dialogue
> CONTEXT: Map287/events/7/pages/0/17/Dialogue
> CONTEXT: Map287/events/10/pages/0/17/Dialogue
> CONTEXT: Map287/events/12/pages/0/17/Dialogue
> CONTEXT: Map287/events/14/pages/0/17/Dialogue
> CONTEXT: Map287/events/15/pages/0/17/Dialogue
> CONTEXT: Map287/events/19/pages/0/17/Dialogue
> CONTEXT: Map272/events/56/pages/0/17/Dialogue
> CONTEXT: Map217/events/40/pages/0/17/Dialogue
> CONTEXT: Map216/events/31/pages/0/17/Dialogue
> CONTEXT: Map218/events/98/pages/0/18/Dialogue
> CONTEXT: Map222/events/39/pages/0/18/Dialogue
> CONTEXT: Map202/events/39/pages/0/17/Dialogue
> CONTEXT: Map201/events/39/pages/0/18/Dialogue
> CONTEXT: Map202/events/61/pages/0/18/Dialogue
> CONTEXT: Map174/events/1/pages/0/9/Dialogue
> CONTEXT: Map174/events/1/pages/5/10/Dialogue
> CONTEXT: Map174/events/2/pages/3/10/Dialogue
> CONTEXT: Map148/events/18/pages/0/17/Dialogue
> CONTEXT: Map174/events/3/pages/4/10/Dialogue
> CONTEXT: Map148/events/41/pages/0/17/Dialogue
> CONTEXT: Map148/events/77/pages/0/17/Dialogue
The treasure chest was a mimic!
> END STRING
